left;right;Category;Singular/Plural;N / M / F;weight;processor;processor_args;;;;;
NN_ORIENT;Westsüdwest;;;;1;generic_processor;orientation_eq:WSW;compass_direction_gt: 236.25, compass_direction_lt: 258.75;;;;
NN_ORIENT;West,Westen;;;;1;generic_processor;orientation_eq:W;compass_direction_gt: 281.25, compass_direction_lt: 303.75;;;;
NN_ORIENT;Westnordwest;;;;1;generic_processor;orientation_eq:WNW;compass_direction_gt: 281.25, compass_direction_lt: 303.75;;;;
NN_ORIENT;Nordwest;;;;1;generic_processor;orientation_eq:NW;compass_direction_gt: 303.75, compass_direction_lt: 326.25;;;;
NN_ORIENT;Nordnordwest;;;;1;generic_processor;orientation_eq:NNW;compass_direction_gt: 326.25 compass_direction_lt: 348.75;;;;
NN_ORIENT;Nord,Norden;;;;1;generic_processor;orientation_eq:N;compass_direction_gt: 348.75, compass_direction_lt: 360;;;;
NN_PLACES;Horizont;;;;1;always_include_processor;;;;;;
NN_PLACES;Rand der Welt;;;;1;always_include_processor;;;;;;
NN_PLACES;Dänemark;orientation;;;0.2;locations_processor;latitude:56.263920,longitude:9.501785;compass_direction_gt: 0, compass_direction_lt: 11.25;;;;
NN_PLACES;Norderstedt;;;;0.2;locations_processor;latitude:53.673500, longitude:9.985630;;;;;
NN_PLACES;Norwegen;;;;0.2;locations_processor;latitude:60.472023, longitude:8.468946;compass_direction_gt: 0, compass_direction_lt: 11.25;;;;
NN_PLACES;Wandsbek;;;;0.2;locations_processor;latitude:53.632576, longitude:10.127119;;;;;
NN_PLACES;Schweden;;;;0.2;locations_processor;latitude:63.889472, longitude:15.740109;compass_direction_gt: 11.25, compass_direction_lt: 33.75;;;;
NN_PLACES;Rahlstedt;;;;0.2;locations_processor;latitude:53.609819, longitude:10.162213;;;;;
NN_PLACES;Finnland;;;;0.2;locations_processor;latitude:63.937079, longitude:27.245388;compass_direction_gt: 33.75, compass_direction_lt: 56.25;;;;
NN_PLACES;Nordmeer;;;;0.2;;;compass_direction_gt: 56.25, compass_direction_lt: 78.75;;;;
NN_PLACES;Jenfeld;;;;0.2;locations_processor;latitude:53.576077, longitude:10.133597;;;;;
NN_PLACES;Polen;;;;0.2;locations_processor;latitude:52.273671, longitude:19.660321;compass_direction_gt: 78.75, compass_direction_lt: 101.25;;;;nordnordwest
